Shot,TS_TRIG,Energy,Fuel,Notes,Mount_Positions,Jack_Height,V_osc,V_amps12,V_amp3,POLY_2_2,POLY_2_3,POLY_3_1,POLY_3_2,POLY_3_3,POLY_3_4,POLY_3_5,POLY_4_1,POLY_4_2,POLY_4_3,POLY_4_4,POLY_4_5,POLY_5_1,POLY_5_2,POLY_5_3,POLY_5_4,POLY_5_5,radius_poly_2,radius_poly_3,radius_poly_4,radius_poly_5,i_tor_max,FIRE_TIME,Energy_Bayes,Pulse_Time
181008002,1.8,,V,"osc. only test, 5% banks. Scopes not triggered.",XDGF,1.25,1650.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,-82.65000459817769,,,
181008003,1.8,,V,"Amp. 1&2 test, 10% banks",XDGF,1.25,1650.0,2000.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,-85.43956792986111,,,
181008004,1.8,,V,"Amp. 1&2&3 test, 20% banks",XDGF,1.25,1650.0,2300.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,-184.06033889738532,,,
181008005,1.8,,V,"Amp. 1&2&3 test, 20% banks",XDGF,1.25,1650.0,2300.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,12000.066035181866,,,
181009004,1.8,,V,"20% banks, trigger timing test.",XDGF,1.25,1650.0,2300.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,-510.1069742424521,,,
181009005,1.8,,V,"20% banks, trigger timing test. Laser wasn't triggered.",XDGF,1.25,1650.0,2300.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,-453.6340605090468,,,
181009006,1.8,,V,"20% banks, trigger timing test. Laser trigger wasn't hooked up.",XDGF,1.25,1650.0,2300.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,-480.00790204127634,,,
181009007,1.8,,V,"20% banks, trigger timing test. Laser wasn't triggered (bypassed pulse generator).",XDGF,1.25,1650.0,2300.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,-445.4523864487298,,,
181009008,1.8,,V,"20% banks, trigger timing test. Laser was triggered, scopes were not (bad BNC?).",XDGF,1.25,1650.0,2300.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,-448.499787291321,,,
181009009,1.8,,V,"20% banks, trigger timing test. Laser was triggered, along with one scope (noise trigger).",XDGF,1.25,1650.0,2300.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,-475.3807068663206,,,
181009010,1.8,,V,"20% banks, trigger timing test. Scope trigger BNCs connected to ""P CELL TRIG."" No dice.",XDGF,1.25,1650.0,2300.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,-461.4227015452448,,,
181009011,1.8,,V,"20% banks, trigger timing test. Scope trigger BNCs connected to ""OSC SYNC.""",XDGF,1.25,1650.0,2300.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,-474.7453052411107,,,
181009012,1.8,,V,"20% banks, trigger timing test. Scope trigger BNCs conneced to ""P CELL SYNC."" nope.",XDGF,1.25,1650.0,2400.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,-467.1550376220735,,,
181009013,1.8,,V,"repeat, triggering scope 3 with ruby photodiode? no response.",XDGF,1.25,1650.0,2400.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,12305.361603777288,,,
181009014,1.8,,V,ruby laser not active (no key).,XDGF,1.25,1650.0,2400.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,12586.634046258509,,,
181009015,1.8,,He,plasma. lowered scope trigger level. nope.,XDGF,1.25,1650.0,2400.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,13043.91208363522,,,
181009016,1.8,,He,"plasma shot, added scope trigger from 4222 channel 2. ",XDGF,1.25,1650.0,2400.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,13081.574229764761,,,
181009017,1.8,,He,"plasma shot, added scope trigger from 4222 channel 2. ",XDGF,1.25,1650.0,2400.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,13258.119256521053,,,
181009018,1.8,,He,"plasma shot, digitizing trigger, osc sync., and ""CRO EN MON"" to dial in timing.",XDGF,1.25,1650.0,2400.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,13269.629118312212,,,
181009019,1.8,,He,"plasma shot, digitizing trigger, osc sync., and ""CRO EN MON"" to dial in timing.",XDGF,1.25,1650.0,2400.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,13398.784094221008,,,
181010007,1.8,,He,plasma. Triggering one scope off of poly 2 channel 3. Ruby mon. not on.,XDGF,1.25,1650.0,2300.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,14264.340191789004,,,
181010008,1.8,,He,plasma. Triggering all scopes off of poly 2 channel 3. So much noise on poly 3 scope.,XDGF,1.25,1650.0,2300.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,17959.07477568974,,,
181010009,1.8,,He,plasma. Triggering 3 scopes off of poly 2 channel 3. So much noise on poly 3 scope.,XDGF,1.25,1650.0,2400.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,14161.791117290588,,,
181010010,1.8,,He,plasma. Triggering 3 scopes off of poly 2 channel 2. nothing?,XDGF,1.25,1650.0,2400.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,14483.065516847566,,,
181010011,1.8,,He,"plasma. Triggering scopes off of 4222 channel 2 again, delay 13 us.",XDGF,1.25,1650.0,2400.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,14276.257018716737,,,
181010012,1.8,,He,"plasma. Triggering scopes off of 4222 channel 2 again, delay 13.5 us.",XDGF,1.25,1650.0,2400.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,14364.828784778409,,,
181010013,1.8,,He,Pockel cell had been turned off. On now.,XDGF,1.25,1650.0,2200.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,14222.891963023074,,,
181010014,1.8,,He,tweaking scopes.,XDGF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,14220.389472535764,,,
