Shot,TS_TRIG,Energy,Fuel,Notes,Mount_Positions,Jack_Height,V_osc,V_amps12,V_amp3,POLY_2_2,POLY_2_3,POLY_3_1,POLY_3_2,POLY_3_3,POLY_3_4,POLY_3_5,POLY_4_1,POLY_4_2,POLY_4_3,POLY_4_4,POLY_4_5,POLY_5_1,POLY_5_2,POLY_5_3,POLY_5_4,POLY_5_5,radius_poly_2,radius_poly_3,radius_poly_4,radius_poly_5,i_tor_max,FIRE_TIME,Energy_Bayes,Pulse_Time,POLY_3_T_e_fixed,POLY_3_T_e_fixed_hpd95low,POLY_3_T_e_fixed_hpd95high,POLY_3_T_e_fixed_Rhat,POLY_3_T_e_drift,POLY_3_T_e_drift_hpd95low,POLY_3_T_e_drift_hpd95high,POLY_3_T_e_drift_Rhat,POLY_3_v_d_drift,POLY_3_v_d_drift_hpd95low,POLY_3_v_d_drift_hpd95high,POLY_3_v_d_drift_Rhat,POLY_4_T_e_fixed,POLY_4_T_e_fixed_hpd95low,POLY_4_T_e_fixed_hpd95high,POLY_4_T_e_fixed_Rhat,POLY_4_T_e_drift,POLY_4_T_e_drift_hpd95low,POLY_4_T_e_drift_hpd95high,POLY_4_T_e_drift_Rhat,POLY_4_v_d_drift,POLY_4_v_d_drift_hpd95low,POLY_4_v_d_drift_hpd95high,POLY_4_v_d_drift_Rhat,POLY_5_T_e_fixed,POLY_5_T_e_fixed_hpd95low,POLY_5_T_e_fixed_hpd95high,POLY_5_T_e_fixed_Rhat,POLY_5_T_e_drift,POLY_5_T_e_drift_hpd95low,POLY_5_T_e_drift_hpd95high,POLY_5_T_e_drift_Rhat,POLY_5_v_d_drift,POLY_5_v_d_drift_hpd95low,POLY_5_v_d_drift_hpd95high,POLY_5_v_d_drift_Rhat
181008002,1.8,,V,"osc. only test, 5% banks. Scopes not triggered.",XDGF,1.25,1650,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.34800323270000005,0.3322743595,,-82.6500045982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181008003,1.8,,V,"Amp. 1&2 test, 10% banks",XDGF,1.25,1650,2000,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.34800323270000005,0.3322743595,,-85.4395679299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181008004,1.8,,V,"Amp. 1&2&3 test, 20% banks",XDGF,1.25,1650,2300,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.34800323270000005,0.3322743595,,-184.06033889740002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181008005,1.8,,V,"Amp. 1&2&3 test, 20% banks",XDGF,1.25,1650,2300,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.34800323270000005,0.3322743595,,12000.066035181899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181009004,1.8,,V,"20% banks, trigger timing test.",XDGF,1.25,1650,2300,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.34800323270000005,0.3322743595,,-510.1069742425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181009005,1.8,,V,"20% banks, trigger timing test. Laser wasn't triggered.",XDGF,1.25,1650,2300,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.34800323270000005,0.3322743595,,-453.634060509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181009006,1.8,,V,"20% banks, trigger timing test. Laser trigger wasn't hooked up.",XDGF,1.25,1650,2300,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.34800323270000005,0.3322743595,,-480.0079020413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181009007,1.8,,V,"20% banks, trigger timing test. Laser wasn't triggered (bypassed pulse generator).",XDGF,1.25,1650,2300,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.34800323270000005,0.3322743595,,-445.45238644870005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181009008,1.8,,V,"20% banks, trigger timing test. Laser was triggered, scopes were not (bad BNC?).",XDGF,1.25,1650,2300,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.34800323270000005,0.3322743595,,-448.4997872913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181009009,1.8,,V,"20% banks, trigger timing test. Laser was triggered, along with one scope (noise trigger).",XDGF,1.25,1650,2300,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.34800323270000005,0.3322743595,,-475.3807068663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181009010,1.8,,V,"20% banks, trigger timing test. Scope trigger BNCs connected to ""P CELL TRIG."" No dice.",XDGF,1.25,1650,2300,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.34800323270000005,0.3322743595,,-461.42270154519997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181009011,1.8,,V,"20% banks, trigger timing test. Scope trigger BNCs connected to ""OSC SYNC.""",XDGF,1.25,1650,2300,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.34800323270000005,0.3322743595,,-474.7453052411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
