,Shot,TS_TRIG,Energy,Fuel,Notes,V_osc,V_amps12,V_amp3,poly2_2,poly2_3,poly3_1,poly3_2,poly3_3,poly3_4,poly3_5,poly4_1,poly4_2,poly4_3,poly4_4,poly4_5,poly5_1,poly5_2,poly5_3,poly5_4,poly5_5
0,181008002,1.8,,V,"osc. only test, 5% banks. Scopes not triggered.",1650.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,181008003,1.8,,V,"Amp. 1&2 test, 10% banks",1650.0,2000.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2,181008004,1.8,,V,"Amp. 1&2&3 test, 20% banks",1650.0,2300.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3,181008005,1.8,,V,"Amp. 1&2&3 test, 20% banks",1650.0,2300.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,181009004,1.8,,V,"20% banks, trigger timing test.",1650.0,2300.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
5,181009005,1.8,,V,"20% banks, trigger timing test. Laser wasn't triggered.",1650.0,2300.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
6,181009006,1.8,,V,"20% banks, trigger timing test. Laser trigger wasn't hooked up.",1650.0,2300.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
7,181009007,1.8,,V,"20% banks, trigger timing test. Laser wasn't triggered (bypassed pulse generator).",1650.0,2300.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8,181009008,1.8,,V,"20% banks, trigger timing test. Laser was triggered, scopes were not (bad BNC?).",1650.0,2300.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9,181009009,1.8,,V,"20% banks, trigger timing test. Laser was triggered, along with one scope (noise trigger).",1650.0,2300.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
10,181009010,1.8,,V,"20% banks, trigger timing test. Scope trigger BNCs connected to ""P CELL TRIG."" No dice.",1650.0,2300.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
11,181009011,1.8,,V,"20% banks, trigger timing test. Scope trigger BNCs connected to ""OSC SYNC.""",1650.0,2300.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
