Shot,TS_TRIG,Energy,Fuel,Notes,Mount_Positions,Jack_Height,V_osc,V_amps12,V_amp3,POLY_2_2,POLY_2_3,POLY_3_1,POLY_3_2,POLY_3_3,POLY_3_4,POLY_3_5,POLY_4_1,POLY_4_2,POLY_4_3,POLY_4_4,POLY_4_5,POLY_5_1,POLY_5_2,POLY_5_3,POLY_5_4,POLY_5_5,radius_poly_2,radius_poly_3,radius_poly_4,radius_poly_5,i_tor_max
181008002,1.8,,V,"osc. only test, 5% banks. Scopes not triggered.",XDGF,1.25,1650.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809834996,0.34800323274360545,0.3322743595283873,,-82.65000459817769
181008003,1.8,,V,"Amp. 1&2 test, 10% banks",XDGF,1.25,1650.0,2000.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809834996,0.34800323274360545,0.3322743595283873,,-85.43956792986111
181008004,1.8,,V,"Amp. 1&2&3 test, 20% banks",XDGF,1.25,1650.0,2300.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809834996,0.34800323274360545,0.3322743595283873,,-184.06033889738524
181008005,1.8,,V,"Amp. 1&2&3 test, 20% banks",XDGF,1.25,1650.0,2300.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809834996,0.34800323274360545,0.3322743595283873,,12000.066035181866
181009004,1.8,,V,"20% banks, trigger timing test.",XDGF,1.25,1650.0,2300.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809834996,0.34800323274360545,0.3322743595283873,,-510.1069742424521
181009005,1.8,,V,"20% banks, trigger timing test. Laser wasn't triggered.",XDGF,1.25,1650.0,2300.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809834996,0.34800323274360545,0.3322743595283873,,-453.6340605090468
181009006,1.8,,V,"20% banks, trigger timing test. Laser trigger wasn't hooked up.",XDGF,1.25,1650.0,2300.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809834996,0.34800323274360545,0.3322743595283873,,-480.0079020412763
181009007,1.8,,V,"20% banks, trigger timing test. Laser wasn't triggered (bypassed pulse generator).",XDGF,1.25,1650.0,2300.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809834996,0.34800323274360545,0.3322743595283873,,-445.45238644872984
181009008,1.8,,V,"20% banks, trigger timing test. Laser was triggered, scopes were not (bad BNC?).",XDGF,1.25,1650.0,2300.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809834996,0.34800323274360545,0.3322743595283873,,-448.499787291321
181009009,1.8,,V,"20% banks, trigger timing test. Laser was triggered, along with one scope (noise trigger).",XDGF,1.25,1650.0,2300.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809834996,0.34800323274360545,0.3322743595283873,,-475.3807068663206
